,Unnamed: 0,date,platform,url,title,body,author,tags,num_comments,score
0,1,1624455177.0,Stack Overflow,https://stackoverflow.com/questions/68100839/how-to-plot-a-volumetric-slices-in-matlab,How to plot a volumetric slices in matlab,"<p>I would like to plot a stack of tif images as slices along the z-axis.  My tiff files are numbered 0001.tif, 0002.tif, etc.  Here is my code:</p>
<pre><code>Imatrix = [];
for i = 1:10
    images{i} = imread(sprintf('%04d.tif',i));
    Imatrix = cat(3,Imatrix,images{i});
end

hf2 = figure ;
hs = slice(Imatrix,[],[],1:4) ;
shading interp
set(hs,'FaceAlpha',0.8);
</code></pre>
<p>I get the error:</p>
<pre><code>Error using griddedInterpolant
Sample values must be of type double or single.

Error in interp3 (line 144)
            F = griddedInterpolant(X, Y, Z, V, method,extrap);

Error in slice (line 103)
    vi = interp3(x,y,z,v,xi,yi,zi,method);

Error in image_stack (line 19)
hs = slice(Imatrix,[],[],1:4) ;
</code></pre>
",Bacol,"['matlab', '3d', 'stack', 'slice', 'volume']",0.0,0.0
1,2,1624452115.0,Stack Overflow,https://stackoverflow.com/questions/68100046/how-do-i-convert-8-1076e-05-into-0-0000811-in-matlab,How do I convert &quot;8.1076e-05&quot; into 0.0000811 in MATLAB?,"<p>In my array of strings, I have some values like &quot;8.1076e-05&quot;. The problem I encountered while shorting. I used the code <code>FinalHierarchy = sortrows(B, 3, 'descend');</code> to short, the result is below.</p>
<pre><code>   &quot;FC624  &quot;    &quot;0.010686&quot;     &quot;9.5329e-05&quot;
&quot;FC642  &quot;    &quot;0.0044959&quot;    &quot;8.2636e-05&quot;
&quot;FC621  &quot;    &quot;0.0090886&quot;    &quot;8.1076e-05&quot;
&quot;FC622  &quot;    &quot;0.0086253&quot;    &quot;7.6943e-05&quot;
&quot;FC623  &quot;    &quot;0.0080882&quot;    &quot;7.2152e-05&quot;
&quot;FC643  &quot;    &quot;0.0028437&quot;    &quot;5.2267e-05&quot;
&quot;FC646  &quot;    &quot;0.0025469&quot;    &quot;4.6813e-05&quot;
&quot;FC644  &quot;    &quot;0.0012072&quot;    &quot;2.2189e-05&quot;
&quot;FC122  &quot;    &quot;0.0073847&quot;    &quot;0.00077775&quot;
&quot;FC142  &quot;    &quot;0.010012&quot;     &quot;0.00072479&quot;
&quot;FC131  &quot;    &quot;0.0094101&quot;    &quot;0.00071951&quot;
&quot;FC121  &quot;    &quot;0.0068294&quot;    &quot;0.00071926&quot;
&quot;FC521  &quot;    &quot;0.0095355&quot;    &quot;0.00069401&quot;
&quot;FC112  &quot;    &quot;0.0087711&quot;    &quot;0.00063404&quot;
&quot;FC111  &quot;    &quot;0.008607&quot;     &quot;0.00062218&quot;
&quot;FC531  &quot;    &quot;0.0058125&quot;    &quot;0.00055105&quot;
&quot;FC141  &quot;    &quot;0.0074634&quot;    &quot;0.0005403&quot; 
&quot;FC228  &quot;    &quot;0.0098074&quot;    &quot;0.00049734&quot;
&quot;FC224&quot;      &quot;0.009434&quot;     &quot;0.0004784&quot; 
&quot;FC221  &quot;    &quot;0.0092251&quot;    &quot;0.00046782&quot;
&quot;FC225&quot;      &quot;0.0088874&quot;    &quot;0.00045069&quot;
</code></pre>
<p>It can be seen above that MATLAB has considered the value <code>2.2189e-05</code> bigger than <code>0.00077775</code>. I guess the reason behind it is, MATLAB compared <code>2.2189</code> with <code>0.00077775</code>. It is because the column is a string. In my calculation, <code>column 2</code> and <code>column 3</code> were double but when I concatenated them with a string <code>column 1</code> as  <code>'B'</code>, it became string.
I guess it might have a very easy solution if <code>2.2189e-05</code> stays as <code>0.00002219</code>. I try to change the <code>format</code> to <code>longG</code> but the problem still persists.
Can someone suggest any idea to deal with it?</p>
",Ashwani Kumar Malviya,['matlab'],1.0,0.0
2,3,1624351263.0,Stack Overflow,https://stackoverflow.com/questions/68080289/plotting-level-curves-in-matlab-for-a-complex-function,Plotting level curves in MATLAB for a complex function,"<p>I am trying to plot the contour plots for the given function</p>
<pre><code>syms r x y k z
[ph,r] = meshgrid((0:5:360)*pi/180,0:.5:10);
[X,Y] = pol2cart(ph,r);
Z = X+i*Y;
J = besselj(k,l.*r);
J2 = besselj(k,m.*r);
Y = bessely(k,l.*r);
Y2 = bessely(k,m.*r);
H = besselh(k,r);
F1 = symsum((J).*exp(1i*k*ph),k,-5,5);
F2 = symsum((J2+Y2).*exp(1i.*k.*ph),k,-5,5);
F3 = symsum(H.*exp(1i.*k.*ph),k,-5,5);
pwu = nan(size(F1), 'like', F1);
mask = 0 &lt;= r &amp; r &lt; 0.5;
pwu(mask) = F1(mask);
mask = 0.5 &lt;= r &amp; r &lt; 1;
pwu(mask) = F2(mask);
mask = r &gt;= 1;
pwu(mask) = F3(mask);
U = subs(pwu, {l, m}, {1.5, 3});hold on
contour(X,Y,imag(double(U)),30)
axis equal
xlabel('r','FontSize',14);
ylabel('phi','FontSize',14);
</code></pre>
<p>but I keep getting errors for the form of the 4th last line. Apparently  U cannot be converted to a double. Is there any other way to do this?</p>
<p>Thanks</p>
",vqngs,"['matlab', 'plot', 'contour']",1.0,0.0
3,4,1624442143.0,Stack Overflow,https://stackoverflow.com/questions/68097571/is-there-a-way-to-solve-quadratic-programming-problems-natively-in-opencv,Is there a way to solve quadratic programming problems natively in OpenCV?,"<p>So, I'm trying to write an algorithm for adjusting the lighting around a camera to get the right grey levels in an image. I've measured grey levels at different lighting levels, and now I'm trying to get a relationship for grey levels across an area to light sources across that same area.</p>
<p>So far I've been doing this in OpenCV and C++, based on a prior prototype in MatLab. Part of the solution in MatLab involves using a Quadratic Solver (the function <code>quadprog</code>), and I must admit to being a little out of my depth when it comes to Quadratic Programming. If possible I would really like to be able to implement this natively in OpenCV, so I don't have to use a different library, convert my Mats to its matrix standard, and then back to cv::Mats once more. Is there a way to do this natively? I have looked at the documentation for OpenCV solvers, but I'm not sure they're applicable in this case . . .</p>
<p>For reference, the MatLab I'm trying to implement looks like this, where H, F, A, B, LB and UB are matrices:</p>
<pre><code>opt=optimset('Algorithm','active-set','Display','off');
[setpwm,fval,flag]=quadprog(H,F,A,B,[],[],LB,UB,[],opt);
</code></pre>
<p>&quot;H represents the quadratic in the expression 1/2*x'<em>H</em>x + f'*x. If H is not symmetric, quadprog issues a warning and uses the symmetrized version (H + H')/2 instead.&quot; - quadprog MatLab page</p>
<p>&quot;F represents the linear term in the expression 1/2*x'<em>H</em>x + F'*x.&quot; - quadprog MatLab page</p>
<p>&quot;A is an M-by-N matrix, where M is the number of inequalities, and N is the number of variables.&quot; - quadprog MatLab page</p>
<p>&quot;B contains the Linear inequality constraints, specified as a real vector.&quot; - quadprog MatLab page</p>
<p>LB and UB are vectors specifying the upper and lower bounds of the vector x.</p>
<p>Thank you! :)</p>
",Trethyn Trethyn,"['c++', 'matlab', 'opencv', 'quadratic-programming']",0.0,0.0
4,5,1624359070.0,Stack Overflow,https://stackoverflow.com/questions/68082214/trying-to-create-a-subplot-in-matlab-does-this-code-make-sense,"trying to create a subplot in MATLAB, does this code make sense?","<p>I'm trying to create a subplot in matlab however this code seems to be unusable. do you have any suggestions how to get it to work?
I am a coding novice so any help or advice for where to search for things like this in case it is not supposed to be on here would be appreciated.</p>
<pre><code> Uinput=inputdlg({'width:',...
                 'thickness:',...
                 'length:',...
                 'density:',...
                 'natural frequency 1:',...
                 'natural frequency 2:',...
                 'natural frequency 3:',...
                 'natural frequency 4:',...
                 'damping ratio:'},...
                 'input',1,{'','','','','','','','',''});
w=eval(Uinput{1});
t=eval(Uinput{2});
L=eval(Uinput{3});
rho=eval(Uinput{4});
f1=eval(Uinput{5});
f2=eval(Uinput{6});
f3=eval(Uinput{7});
f4=eval(Uinput{8});
zn=eval(Uinput{9});
mnum=eval(Uinput{6});
%%
%COMMENT FROM HERE TO END
fn=[2.3481 14.7152 41.2033 80.7406]; % natural frequencies taken from task 1
kn=((2*pi.*fn).^2)*(L*w*t*rho); % equation to calculate the 
zn1=0.01;
zn=[zn1 zn1 zn1 zn1];
phif=[0.011 0.063 0.159 0.294]; %force potential amplitudes and the applied position %mode shapes for the forcing location   %nodes and antinode locations  %YOU NEED TO CHANGE THESE. mode shapes for the forcing location for each mode
%50mm, 302mm, 600mm 
phir=[0.3464 0.7112 -0.0083 -0.7455]; % response potential %modeshapes for the response locations     %YOU NEED TO CHANGE THESE. mode shapes for the response location for each mode
f=linspace(0,100,5000);
for n = 1:length(fn),
    r = f/fn(n);
    hi(:,n) = phif(n)*phir(n)/kn(n)./(1-r.^2+j*2*zn(n)*r);
    phin=hi(:,n)/(max(abs(hi(:,n)));
    subplot(2,2,n);
    plot(x,phin, '-o')
    grid on
    xlabel('position')
    ylabel('normalised shape')
    title(['Mode ' num2str(mnum) ', ' num2str(fn) ' Hz'])
end
h=abs(sum(hi,2)); 
loglog(f,h)
ylabel('H')
xlabel('frequency (Hz)')
</code></pre>
",Luca Bakshi,"['matlab', 'subplot']",2.0,-1.0
5,6,1624443178.0,Stack Overflow,https://stackoverflow.com/questions/68097836/worhp-13-2-crashing-when-running-the-example-file,WORHP 13.2 Crashing when running the example file,"<p>i am currently trying to run WORHP 13.2 for MATLAB on a new computer.</p>
<pre><code>worhp_setup_windows
</code></pre>
<p>works fine up until the example call in line 93. In the example.m file, the</p>
<pre><code>worhp(wData, wCallback) 
</code></pre>
<p>in line 62 is freezing and finally crashing MATLAB without an error message. This is all the output I get:</p>
<p>Welcome to WORHP's direct call MATLAB interface.</p>
<p>To get started, your installation of MATLAB must be correctly
configured to compile C and C++ files using &quot;mex&quot;.
You can configure the compiler in MATLAB using these commands:
mex -setup C
mex -setup C++
For further information see this documentation:
doc worhp_setup_windows</p>
<p>Compiling WORHP's direct call MATLAB interface now...
worhp.cpp
Building with 'MinGW64 Compiler (C++)'.
MEX completed successfully.
WORHP's direct call MATLAB interface was compiled correctly.</p>
<p>Running WORHP's direct call MATLAB example now...</p>
<p>I have installed Microsoft Visual C++ 2008 2010 and 2015-2019 (x64).</p>
<p>Sorry if I missed any basic installation.</p>
",MKHoffmann,"['matlab', 'worhp']",0.0,0.0
6,7,1624439121.0,Stack Overflow,https://stackoverflow.com/questions/68096800/converting-values-of-a-matrix-of-order-nxn-to-a-vector-with-order-nxn-1,"converting values of a matrix of order (NxN) to a vector with order (NxN, 1)","<p>I have a matrix let's say A with NxN order (here, 3x3) given by:</p>
<pre><code>A = | a b c|
    | d e f|
    | g h i|
</code></pre>
<p>And I want to convert this matrix into a single vector of order [NxN, 1] (here, 9x1) given by:</p>
<pre><code>P = |a|
    |b|
    |.|
    |.|
    |.|
    |i|
</code></pre>
<p>So, right now what I'm using for converting it for a larger order of matrices &amp; vectors is:</p>
<pre><code>% A is a given matrix with some arbitrary values of order (N,M)

P = zeros(N*M, 1);
  
for i = 1:N
    for j = 1:M
       P((i-1)*M + j, 1) = A(i,j)
    end 
end 
</code></pre>
<p>But I am still getting some values in the vector P that is having values as zeros. I'm not sure what am I doing wrong. Any suggestions, what should be the correction in the code?</p>
",Puneet G-man Koli,"['matlab', 'matrix', 'vector', 'data-conversion']",1.0,0.0
7,8,1624424564.0,Stack Overflow,https://stackoverflow.com/questions/68093764/convert-quadratic-graph-to-linear-using-logarithmic-scale,convert quadratic graph to linear using logarithmic scale,"<p>I have to draw a quadratic plot (something like y=a*x^2). I wonder is there anyway to find a logarithmical scale for x or y axis to convert this plot to linear form?
<br />
<br />
for example lets imagine we have a plot like this:
<br />
<img src=""https://i.stack.imgur.com/BPAMy.png"" alt=""img"" />
<br />
<br />
I want the final plot be something like this by changing the x or y axis to logarithmical scale. I wonder if this is possible theoretically and the answer is yes how can I find the base value of logarithmical scale.
<br />
<img src=""https://i.stack.imgur.com/pBvPS.png"" alt=""img"" /></p>
",afshinbr,"['matlab', 'math', 'plot', 'logarithm', 'oxyplot']",2.0,1.0
8,9,1343406640.0,Stack Overflow,https://stackoverflow.com/questions/11691925/fortran-equivalent-to-matlab-find-application-to-slicing-matrix-without-memory,Fortran equivalent to matlab find - application to slicing matrix without memory duplication,"<p>I use the command find quite a lot in matlab, and I wonder how to translate this smartly in fortran to extract a slice of an array. In matlab you can slice with either logicals or indexes, but in fortran you need indexes to slice. I'm aware of the intrinsic subroutines pack et al, but have never used them. Also, since I'm dealing with big matrices, I would like to avoid duplicating memory. I want the sliced matrix to be manipulated within a subroutine. I've read somewhere that slices of array were not duplicated. I don't know how this the slicing in done in matlab though. I'm puzzled also because in matlab some allocations are transparent to you. </p>

<p>I'd like to know how to reproduce the examples below, and make sure I'm not duplicating stuff in memory and that it's actually elegant to do so. Otherwise, I would forget about slicing and just send the whole matrix(since it's by reference) and loop through an index array I...</p>

<p>Matlab example 1: simply reproducing find</p>

<pre><code>  v=[1 2 3 4];
  I=find(v==3);
</code></pre>

<p>Matlab example 2: </p>

<pre><code>m=rand(4,4);
bools=logical([ 1 0 0 1]);
I=find(bools==1); 
% which I could also do like: 
I=1:size(m,1); 
I=I(bools);

  for i=1:length(I)
      % here dealing with m(I(i)),:)  and do some computation
      % etc.
</code></pre>

<p>Example 3: just call a subroutine on m(I,:) , but using directly booleans for slicing</p>

<pre><code>   foo( m(bools, :) , arg2, arg3 )
</code></pre>

<p>In advance thank you for your help!</p>
",e-malito,"['arrays', 'matlab', 'fortran']",4.0,7.0
9,10,1624437659.0,Stack Overflow,https://stackoverflow.com/questions/68096423/difference-between-python-scipy-signal-savgol-coeffs-and-matlab-sgolay-f,difference between python `scipy.signal.savgol_coeffs()` and matlab `sgolay()` for larger window lengths,"<p>In this question <a href=""https://stackoverflow.com/questions/50850399/what-is-the-python-equivalent-for-matlabs-sgolayk-f"">here</a>, we learn that Matlab's equivalent of scipy's <code>savgol_coeffs</code> function is the center row of the MatLab's <code>sgolayfilt</code> output.</p>
<p>However, for large <code>window_length</code> it does not seem to work:</p>
<pre><code># python
from scipy.signal import savgol_coeffs
import matplotlib.pyplot as plt
if __name__ == &quot;__main__&quot;:
    # %% Show the coefficient
    n = 301
    b = savgol_coeffs(window_length=n, polyorder=8)

    plt.figure()
    plt.plot(b)
    plt.title(f'savgol_coeffs({n}, 8)')
    plt.show()
</code></pre>
<p>This should be the maltab equivalent:</p>
<pre><code>% matlab
n = 301
B = sgolay(8, n);
b = B((n+1)/2, :);
plot(b)
</code></pre>
<p>Here is an image of the result (top = Python, bottom = MatLab)
<a href=""https://i.stack.imgur.com/5qBii.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/5qBii.png"" alt=""enter image description here"" /></a></p>
<p><strong>Is there an explanation for why they differ?</strong>
Is it simply a numerical problem?</p>
<p>When I change <code>n</code> to something smaller (like 31) they both look the same.</p>
",user7431005,"['python', 'matlab', 'scipy']",0.0,0.0
